Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,21.86,61,45,6.3,106,E
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,9.9,91,99,7.9,2053,M
Wii Party,Wii,2010,Misc,Nintendo,8.39,68,42,7.5,55,E
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,7.54,97,87,9.1,1859,E
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,6.51,95,73,8.9,2475,M
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,6.47,87,77,8.6,368,E
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,6.35,95,96,9,2327,M
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,6.19,73,51,7.4,95,E10+
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,5.1,80,88,6.5,608,M
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,5.07,89,51,8,233,E
FIFA Soccer 11,X360,2010,Sports,Electronic Arts,3.52,88,66,7.5,155,E
Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,3.48,88,75,8.6,870,M
Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,3.1,96,98,8.9,3153,M
Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,2.95,88,59,8.5,573,M
Medal of Honor,PS3,2010,Shooter,Electronic Arts,2.81,75,56,7.5,285,M
Need for Speed: Hot Pursuit,PS3,2010,Racing,Electronic Arts,2.78,89,59,7.2,301,E10+
Madden NFL 11,X360,2010,Sports,Electronic Arts,2.69,84,47,5.7,120,E
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,Nintendo,2.67,79,51,7.7,18,E
Skate 3,X360,2010,Sports,Electronic Arts,2.66,80,65,8,128,T
Medal of Honor,X360,2010,Shooter,Electronic Arts,2.62,74,71,6.7,288,M
Art Academy,DS,2010,Misc,Nintendo,2.52,75,15,8,5,E
Madden NFL 11,PS3,2010,Sports,Electronic Arts,2.39,83,36,6.1,68,E
The Sims 3,X360,2010,Simulation,Electronic Arts,2.28,76,42,7.2,72,T
Need for Speed: Hot Pursuit,X360,2010,Racing,Electronic Arts,2.2,88,73,7,207,E10+
BioShock 2,X360,2010,Shooter,Take-Two Interactive,2.2,88,93,8.2,575,M
NBA 2K11,X360,2010,Action,Take-Two Interactive,2.1,89,50,8.1,100,E
Mario Sports Mix,Wii,2010,Sports,Nintendo,2.08,64,54,7.1,34,E
Kirbys Epic Yarn,Wii,2010,Platform,Nintendo,2.06,86,70,8.6,206,E
Skate 3,PS3,2010,Sports,Electronic Arts,1.99,80,46,7.6,82,T
The Sims 3,PS3,2010,Simulation,Electronic Arts,1.94,78,39,6.4,55,T
NBA 2K11,PS3,2010,Action,Take-Two Interactive,1.8,89,46,7.6,107,E
Dragon Quest VI: Realms of Revelation,DS,2010,Role-Playing,Nintendo,1.74,78,41,8.2,32,T
The Sims 3: Late Night Expansion Pack,PC,2010,Simulation,Electronic Arts,1.7,74,17,5.3,78,T
Sid Meiers Civilization V,PC,2010,Strategy,Take-Two Interactive,1.68,90,70,7.9,2298,E10+
Kinectimals,X360,2010,Simulation,Microsoft Game Studios,1.62,74,50,3.2,70,E
Mafia II,X360,2010,Action,Take-Two Interactive,1.55,74,79,7.8,461,M
BioShock 2,PS3,2010,Shooter,Take-Two Interactive,1.54,88,62,8.2,493,M
Dead Rising 2,X360,2010,Action,Capcom,1.49,79,76,6.9,217,M
Mafia II,PS3,2010,Action,Take-Two Interactive,1.49,75,61,7.7,299,M
Kinect Joy Ride,X360,2010,Racing,Microsoft Game Studios,1.43,52,46,5,20,E
Dead Rising 2,PS3,2010,Action,Capcom,1.37,80,54,6.7,178,M
Metroid: Other M,Wii,2010,Action,Nintendo,1.35,79,71,6.5,483,T
Alan Wake,X360,2010,Action,Microsoft Game Studios,1.33,83,100,8.1,1162,T
Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo,1.3,68,25,8.3,26,E
