Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,21.86,61,45,6.3,106,E
Call of Duty: Black Ops,X360,2010,Shooter,Activision,14.67,87,89,6.3,1456,M
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,12.64,88,58,6.4,1095,M
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,10.7,84,82,7.5,1115,E
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,9.9,91,99,7.9,2053,M
Just Dance 2,Wii,2010,Misc,Ubisoft,9.44,74,24,7.3,24,E10+
Wii Party,Wii,2010,Misc,Nintendo,8.39,68,42,7.5,55,E
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,7.54,97,87,9.1,1859,E
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,6.51,95,73,8.9,2475,M
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,6.47,87,77,8.6,368,E
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,6.35,95,96,9,2327,M
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,6.19,73,51,7.4,95,E10+
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,5.1,80,88,6.5,608,M
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,5.07,89,51,8,233,E
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,4.85,93,82,8.2,3057,T
God of War III,PS3,2010,Action,Sony Computer Entertainment,4.8,92,101,8.7,2647,M
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,4.36,56,37,8.3,32,E10+
Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,4.06,84,81,8.1,775,M
Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,3.85,76,64,7.9,104,E10+
FIFA Soccer 11,X360,2010,Sports,Electronic Arts,3.52,88,66,7.5,155,E
Assassins Creed: Brotherhood,X360,2010,Action,Ubisoft,3.5,89,81,8.3,700,M
Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,3.48,88,75,8.6,870,M
Dance Central,X360,2010,Misc,MTV Games,3.17,82,63,7.6,85,T
Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks,3.12,82,57,7.8,496,M
Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,3.1,96,98,8.9,3153,M
Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,3.03,87,107,7.7,2775,M
Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,3,73,78,7,131,E
Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,2.95,88,59,8.5,573,M
Assassins Creed: Brotherhood,PS3,2010,Action,Ubisoft,2.82,90,59,8.2,800,M
Medal of Honor,PS3,2010,Shooter,Electronic Arts,2.81,75,56,7.5,285,M
Need for Speed: Hot Pursuit,PS3,2010,Racing,Electronic Arts,2.78,89,59,7.2,301,E10+
Madden NFL 11,X360,2010,Sports,Electronic Arts,2.69,84,47,5.7,120,E
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,Nintendo,2.67,79,51,7.7,18,E
Skate 3,X360,2010,Sports,Electronic Arts,2.66,80,65,8,128,T
Medal of Honor,X360,2010,Shooter,Electronic Arts,2.62,74,71,6.7,288,M
Art Academy,DS,2010,Misc,Nintendo,2.52,75,15,8,5,E
LEGO Harry Potter: Years 1-4,Wii,2010,Action,Warner Bros. Interactive Entertainment,2.43,79,13,8,34,E10+
pro evolution soccer 2011,PS3,2010,Sports,Konami Digital Entertainment,2.41,77,40,6.8,85,E
Madden NFL 11,PS3,2010,Sports,Electronic Arts,2.39,83,36,6.1,68,E
Zumba Fitness,X360,2010,Sports,505 Games,2.37,42,10,5.5,16,E
LEGO Harry Potter: Years 1-4,DS,2010,Action,Warner Bros. Interactive Entertainment,2.28,72,7,7.2,6,E10+
The Sims 3,X360,2010,Simulation,Electronic Arts,2.28,76,42,7.2,72,T
Need for Speed: Hot Pursuit,X360,2010,Racing,Electronic Arts,2.2,88,73,7,207,E10+
BioShock 2,X360,2010,Shooter,Take-Two Interactive,2.2,88,93,8.2,575,M
Final Fantasy XIII,X360,2010,Role-Playing,Square Enix,2.17,82,54,6.3,543,T
NBA 2K11,X360,2010,Action,Take-Two Interactive,2.1,89,50,8.1,100,E
World of Warcraft: Cataclysm,PC,2010,Role-Playing,Activision,2.08,90,53,5.5,956,T
Mario Sports Mix,Wii,2010,Sports,Nintendo,2.08,64,54,7.1,34,E
Metal Gear Solid: Peace Walker,PSP,2010,Action,Konami Digital Entertainment,2.06,89,66,8.9,445,T
Kirbys Epic Yarn,Wii,2010,Platform,Nintendo,2.06,86,70,8.6,206,E
Kingdom Hearts: Birth by Sleep,PSP,2010,Role-Playing,Square Enix,2.06,82,62,8.5,210,E10+
Tom Clancys Splinter Cell: Conviction,X360,2010,Action,Ubisoft,2.06,85,90,7.7,589,M
Skate 3,PS3,2010,Sports,Electronic Arts,1.99,80,46,7.6,82,T
The Sims 3,PS3,2010,Simulation,Electronic Arts,1.94,78,39,6.4,55,T
Sonic Classic Collection,DS,2010,Platform,Sega,1.83,70,24,7.5,28,E
NBA 2K11,PS3,2010,Action,Take-Two Interactive,1.8,89,46,7.6,107,E
Just Cause 2,PS3,2010,Action,Square Enix,1.75,83,66,8,293,M
Dragon Quest VI: Realms of Revelation,DS,2010,Role-Playing,Nintendo,1.74,78,41,8.2,32,T
The Sims 3: Late Night Expansion Pack,PC,2010,Simulation,Electronic Arts,1.7,74,17,5.3,78,T
Sonic Colors,Wii,2010,Platform,Sega,1.69,78,58,8.5,303,E
Sid Meiers Civilization V,PC,2010,Strategy,Take-Two Interactive,1.68,90,70,7.9,2298,E10+
